folio_name	Z30_SUB_LIBRARY	Z30_ITEM_STATUS
Non-circulating	HCASC, HCMED, HCLIB	02
Standard Loan	HCMED, HCLIB, HCASC, HCPF	01
Non-circulating	SCNLS, SCHIL, SCJOS, SCYOU, SCWST, SCSPC, SCANN	02, 03
Reserve 4 Hour	SCNLS, sCHIL, SCJOS, SCYOU, SCANN	20,
Reserve 4 Hour	SCNLS, SCANN	27
Reserve 4 Hour, due at closing	SCNLS, sCHIL, SCJOS, SCYOU, SCANN	21
Reserve 1 Week 	SCNLS, SCHIL, SCJOS, ,SCYOU, SCANN	25
Semester	SCNLS, sCHIL, SCJOS, SCYOU, SCANN	66
4 Week	SCNLS, sCHIL, SCJOS, SCYOU, SCANN	10
Limited	SCNLS, sCHIL, SCJOS, SCYOU, SCANN, SCJOS	11, 12, 13, 14
Internet	SCNLS, SCHIL, SCJOS, SCYOU, SCWST, SCANN	04
Non-circulating	ACFST, ACSCI, ACDEP, ACMUS, ACASP	02, 03
Non-circulating	ACASP	01
Standard Loan	ACFST, ACSCI, ACDEP, ACMUS, ACITS, ACMED	01, 16
Reserve 4 Hour	ACFST, ACSCI,  ACMUS, ACITS, ACMED	22
Reserve 1 Day	ACFST, ACSCI, ACMUS, ACITS, ACMED	23
Reserve 3 Day	ACFST, ACSCI, ACMUS, ACITS, ACMED	24
Reserve 1 Week	ACFST, ACSCI, ACMUS, ACITS, ACMED	25, 26
Semester	ACFST	15
1 Week	ACFST, ACSCI, ACDEP, ACMUS,, ACMED	10, 18
4 Week	AMUS	17
Internet	AMUS, ASCI, AFST	04
Non-circulating	UMDUB, UMSCI, UMFAC, UMSCA, UMFCD, UMIMA, 	02, 03, 13
Non-circulating	UMMDA	52
Standard Loan	UMDUB, UMSCI, UMMDA, UMFAC, UMFCD, UMDML, UMIDA	01
Reserve 4 Hour	UMMDA, UMDUB, UMSCI, UMMDA, UMFAC, UMIDA	31, 02
1 Week	UMDUB, UMSCI, UMMDA, , UMIDA	11, 12
1 Week	UMMDA	06
4 Week	UMDUB, UMSCI, UMFCD	06*, 20, 22, 25, 27
4 Week	UMMDA	20,22
Limited	UMDUB, 	07
Comm Catalog	UMDUB, 	28
Internet	UMDUB, UMSCI	04
Equipment 4 Hour	UMMDA, UMDML	58, 52
Equipment 1 Day	UMMDA	56
Equipment 3 Day	UMMDA, UMDML, UMIDA	53, 54, 55, 57
Non-circulating	MHKSM, MHASC, MHLIB, MHPSL	02
Standard Loan	MHLIB, MHLRC, MHPSL, 	01
Standard Loan	MHPSL	10
Reserve 4 Hour	MHLIB, MHLRC, MHPSL, MHLRC, MHPSL	11
Reserve 3 Day	MHLIB, MHLRC, MHPSL	13
1 Week	MHLIB, MHLRC, 	18
1 Week	MHPSL	16
2 Week	MHLIB, MHLRC, MHPSL	09, 19
4 Week	MHSKM, MHLIB, 	10, 14, 16
4 Week	MHPSL	14
Internet	MHLIB, MHLRC, 	04
Equipment 3 Day	MHLIB, MLRC, MHPSL	08, 15, 21
1 hour loan	UMDML	52
