folio_name	Z30_MATERIAL
Audiocassette	ACASS
Admin	ADMIN
Archival material	ARCH
Artifact/Object	ART
Artifact/Object	ARTI
Audio CD	AUDCD
Book	BOOK
Equipment	CAMRA
CD-ROM	CDROM
Data File	DATA
Database	DATAB
Streaming Audio	EAUDI
E-Book Package	EBKPK
E-Book	EBOOK
E-Journal Package	EJOUP
E-Journal	EJOUR
E-Score	EMUS
E-Newspaper	ENEWS
Equipment	EQUIP
E-Thesis/Dissertation	ETHES
Film	FILM
Analog Game	GAME
Government Publication	GPUB
Equipment	HDPHN
Journal	ISSBD
Journal	ISSUE
Equipment	KEY
Equipment	LAPTP
LP Phonorecord	LP
Map	MAP
Microform	MFILM
Microform	MICR
Microform	MICRO
Audio CD	MUSCD
Score	MUSIC
Musical Instrument	MUSIN
Newspaper	NEWS
Database	ONRES
Audio CD	SPOK
Streaming Audio	STRA
Streaming Video	STRV
Supplement	SUPP
Thesis/Dissertation	THES
Videocassette	VCASS
DVD/Blu-ray	VDVD
Video Game	VGAME
